Model Name,Layer Index,Layer Name,Shape,Data Type,Parameters,Bytes,MB,grain128 Cycles (16250 cycles/byte),chacha20_poly1305 Cycles (170 cycles/byte),trivium Cycles (8000 cycles/byte)
mobile-VIT-float.onnx,0,net.mobilevit.encoder.layer.2.transformer.layer.0.layernorm_before.bias,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,1,net.mobilevit.encoder.layer.2.transformer.layer.0.layernorm_before.weight,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,2,net.mobilevit.encoder.layer.2.transformer.layer.0.attention.attention.query.bias,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,3,net.mobilevit.encoder.layer.2.transformer.layer.0.attention.attention.key.bias,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,4,net.mobilevit.encoder.layer.2.transformer.layer.0.attention.attention.value.bias,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,5,net.mobilevit.encoder.layer.2.transformer.layer.0.attention.output.dense.bias,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,6,net.mobilevit.encoder.layer.2.transformer.layer.0.layernorm_after.bias,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,7,net.mobilevit.encoder.layer.2.transformer.layer.0.layernorm_after.weight,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,8,net.mobilevit.encoder.layer.2.transformer.layer.0.output.dense.bias,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,9,net.mobilevit.encoder.layer.2.transformer.layer.1.layernorm_before.bias,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,10,net.mobilevit.encoder.layer.2.transformer.layer.1.layernorm_before.weight,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,11,net.mobilevit.encoder.layer.2.transformer.layer.1.attention.attention.query.bias,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,12,net.mobilevit.encoder.layer.2.transformer.layer.1.attention.attention.key.bias,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,13,net.mobilevit.encoder.layer.2.transformer.layer.1.attention.attention.value.bias,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,14,net.mobilevit.encoder.layer.2.transformer.layer.1.attention.output.dense.bias,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,15,net.mobilevit.encoder.layer.2.transformer.layer.1.layernorm_after.bias,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,16,net.mobilevit.encoder.layer.2.transformer.layer.1.layernorm_after.weight,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,17,net.mobilevit.encoder.layer.2.transformer.layer.1.output.dense.bias,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,18,net.mobilevit.encoder.layer.2.layernorm.bias,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,19,net.mobilevit.encoder.layer.2.layernorm.weight,[144],float32,144,576,0.000549,9360000,97920,4608000
mobile-VIT-float.onnx,20,net.mobilevit.encoder.layer.3.transformer.layer.0.layernorm_before.bias,[192],float32,192,768,0.000732,12480000,130560,6144000
mobile-VIT-float.onnx,21,net.mobilevit.encoder.layer.3.transformer.layer.0.layernorm_before.weight,[192],float32,192,768,0.000732,12480000,130560,6144000
mobile-VIT-float.onnx,22,net.mobilevit.encoder.layer.3.transformer.layer.0.attention.attention.query.bias,[192],float32,192,768,0.000732,12480000,130560,6144000
mobile-VIT-float.onnx,23,net.mobilevit.encoder.layer.3.transformer.layer.0.attention.attention.key.bias,[192],float32,192,768,0.000732,12480000,130560,6144000
mobile-VIT-float.onnx,24,net.mobilevit.encoder.layer.3.transformer.layer.0.attention.attention.value.bias,[192],float32,192,768,0.000732,12480000,130560,6144000
mobile-VIT-float.onnx,25,net.mobilevit.encoder.layer.3.transformer.layer.0.attention.output.dense.bias,[192],float32,192,768,0.000732,12480000,130560,6144000
mobile-VIT-float.onnx,26,net.mobilevit.encoder.layer.3.transformer.layer.0.layernorm_after.bias,[192],float32,192,768,0.000732,12480000,130560,6144000
mobile-VIT-float.onnx,27,net.mobilevit.encoder.layer.3.transformer.layer.0.layernorm_after.weight,[192],float32,192,768,0.000732,12480000,130560,6144000
mobile-VIT-float.onnx,28,net.mobilevit.encoder.layer.3.transformer.layer.0.output.dense.bias,[192],float32,192,768,0.000732,12480000,130560,6144000
mobile-VIT-float.onnx,29,net.mobilevit.encoder.layer.3.transformer.layer.1.layernorm_before.bias,[192],float32,192,768,0.000732,12480000,130560,6144000
mobile-VIT-float.onnx,30,net.mobilevit.encoder.layer.3.transformer.layer.1.layernorm_before.weight,[192],float32,192,768,0.000732,12480000,130560,6144000
mobile-VIT-float.onnx,31,net.mobilevit.encoder.layer.3.transformer.layer.1.attention.attention.query.bias,[192],float32,192,768,0.000732,12480000,130560,6144000
